je_id,period,entity_id,account_id,debit,credit,account_name,account_type,sub_type,normal_balance,net_amount,statement
JE2001,2026-06,E01,4000,0.0,310000.0,Revenue,Revenue,Operating Revenue,Credit,-310000.0,Income Statement
JE2002,2026-06,E01,5000,168000.0,0.0,Cost of Goods Sold,Expense,Cost,Debit,168000.0,Income Statement
JE2003,2026-06,E01,5100,45000.0,0.0,Salaries Expense,Expense,Operating,Debit,45000.0,Income Statement
JE2004,2026-06,E01,5200,8000.0,0.0,Rent Expense,Expense,Operating,Debit,8000.0,Income Statement
JE2005,2026-06,E01,5300,15000.0,0.0,Marketing Expense,Expense,Operating,Debit,15000.0,Income Statement
JE2006,2026-06,E01,5400,5000.0,0.0,Depreciation Expense,Expense,Operating,Debit,5000.0,Income Statement
JE2007,2026-06,E01,1000,50000.0,0.0,Cash and Equivalents,Asset,Current Asset,Debit,50000.0,Balance Sheet
JE2008,2026-06,E01,1100,310000.0,0.0,Accounts Receivable,Asset,Current Asset,Debit,310000.0,Balance Sheet
JE2009,2026-06,E01,2000,0.0,168000.0,Accounts Payable,Liability,Current Liability,Credit,-168000.0,Balance Sheet
JE2010,2026-06,E02,4000,0.0,98000.0,Revenue,Revenue,Operating Revenue,Credit,-98000.0,Income Statement
JE2011,2026-06,E02,5000,54000.0,0.0,Cost of Goods Sold,Expense,Cost,Debit,54000.0,Income Statement
JE2012,2026-06,E02,5100,18000.0,0.0,Salaries Expense,Expense,Operating,Debit,18000.0,Income Statement
JE2013,2026-06,E02,5200,3000.0,0.0,Rent Expense,Expense,Operating,Debit,3000.0,Income Statement
JE2014,2026-06,E04,4100,0.0,20000.0,Other Income,Revenue,Non-Operating Revenue,Credit,-20000.0,Income Statement
JE2015,2026-06,E01,4100,20000.0,0.0,Other Income,Revenue,Non-Operating Revenue,Credit,20000.0,Income Statement
JE2016,2026-06,E03,4000,0.0,42000.0,Revenue,Revenue,Operating Revenue,Credit,-42000.0,Income Statement
JE2017,2026-06,E03,5000,24000.0,0.0,Cost of Goods Sold,Expense,Cost,Debit,24000.0,Income Statement
JE2018,2026-06,E03,5100,9000.0,0.0,Salaries Expense,Expense,Operating,Debit,9000.0,Income Statement
,2026-06,E01,5300,4000.0,0.0,Marketing Expense,Expense,Operating,Debit,4000.0,Income Statement
JE2020,2026-06,E01,1500,120000.0,0.0,Property Plant Equipment,Asset,Fixed Asset,Debit,120000.0,Balance Sheet
JE2020,2026-06,E01,2500,0.0,120000.0,Long-Term Debt,Liability,Long-Term Liability,Credit,-120000.0,Balance Sheet
JE2022,2026-06,E01,3000,0.0,50000.0,Common Stock,Equity,Equity,Credit,-50000.0,Balance Sheet
JE2023,2026-06,E01,3100,0.0,69000.0,Retained Earnings,Equity,Equity,Credit,-69000.0,Balance Sheet
JE2024,2026-06,E01,1200,80000.0,0.0,Inventory,Asset,Current Asset,Debit,80000.0,Balance Sheet
JE2025,2026-06,E01,2100,0.0,35000.0,Accrued Expenses,Liability,Current Liability,Credit,-35000.0,Balance Sheet
JE2026,2026-06,E02,1000,20000.0,0.0,Cash and Equivalents,Asset,Current Asset,Debit,20000.0,Balance Sheet
JE2027,2026-06,E02,1100,98000.0,0.0,Accounts Receivable,Asset,Current Asset,Debit,98000.0,Balance Sheet
JE2028,2026-06,E02,2000,0.0,54000.0,Accounts Payable,Liability,Current Liability,Credit,-54000.0,Balance Sheet
JE2029,2026-06,E03,1000,10000.0,0.0,Cash and Equivalents,Asset,Current Asset,Debit,10000.0,Balance Sheet
JE2030,2026-06,E03,1100,42000.0,0.0,Accounts Receivable,Asset,Current Asset,Debit,42000.0,Balance Sheet
JE2031,2026-06,E03,2000,0.0,24000.0,Accounts Payable,Liability,Current Liability,Credit,-24000.0,Balance Sheet
